survey start date,survey end date,Tung's disapproval rating
3/1/2005,3/3/2005,0.688
2/17/2005,2/20/2005,0.688
2/1/2005,2/4/2005,0.668
1/27/2005,1/31/2005,0.674
1/24/2005,1/25/2005,0.655
1/12/2005,1/12/2005,0.654
1/3/2005,1/6/2005,0.678
12/18/2004,12/23/2004,0.681
12/1/2004,12/3/2004,0.618
11/15/2004,11/17/2004,0.568
11/1/2004,11/4/2004,0.552
10/18/2004,10/21/2004,0.618
10/4/2004,10/7/2004,0.625
9/20/2004,9/21/2004,0.564
9/1/2004,9/7/2004,0.593
8/21/2004,8/28/2004,0.602
8/2/2004,8/8/2004,0.59
7/26/2004,7/29/2004,0.615
7/2/2004,7/5/2004,0.66
6/21/2004,6/24/2004,0.587
6/1/2004,6/3/2004,0.641
5/18/2004,5/20/2004,0.646
5/3/2004,5/7/2004,0.642
4/19/2004,4/22/2004,0.663
4/1/2004,4/3/2004,0.674
3/22/2004,3/24/2004,0.625
3/10/2004,3/10/2004,0.675
3/1/2004,3/3/2004,0.622
2/20/2004,2/23/2004,0.613
2/2/2004,2/4/2004,0.638
1/26/2004,1/29/2004,0.626
1/14/2004,1/16/2004,0.691
1/7/2004,1/7/2004,0.644
1/2/2004,1/4/2004,0.677
12/20/2003,12/23/2003,0.654
12/1/2003,12/7/2003,0.684
11/15/2003,11/18/2003,0.654
11/10/2003,11/12/2003,#N/A
11/3/2003,11/6/2003,0.653
10/19/2003,10/22/2003,0.645
10/1/2003,10/2/2003,0.617
9/15/2003,9/17/2003,0.624
9/1/2003,9/3/2003,0.637
8/18/2003,8/20/2003,0.661
8/1/2003,8/5/2003,0.643
7/14/2003,7/16/2003,0.72
7/5/2003,7/5/2003,#N/A
7/2/2003,7/4/2003,#N/A
6/13/2003,6/18/2003,#N/A
6/3/2003,6/6/2003,0.617
5/15/2003,5/20/2003,#N/A
5/2/2003,5/7/2003,#N/A
4/16/2003,4/23/2003,#N/A
4/4/2003,4/9/2003,#N/A
3/17/2003,3/19/2003,#N/A
3/12/2003,3/13/2003,0.681
3/5/2003,3/5/2003,#N/A
3/1/2003,3/4/2003,0.64
2/14/2003,2/18/2003,#N/A
2/4/2003,2/7/2003,#N/A
1/23/2003,1/28/2003,#N/A
1/20/2003,1/23/2003,0.613
1/8/2003,1/9/2003,#N/A
1/2/2003,1/7/2003,#N/A
12/13/2002,12/18/2002,#N/A
12/2/2002,12/6/2002,0.555
11/13/2002,11/20/2002,#N/A
11/1/2002,11/5/2002,#N/A
10/13/2002,10/16/2002,#N/A
10/2/2002,10/7/2002,#N/A
9/12/2002,9/17/2002,#N/A
9/2/2002,9/5/2002,0.552
8/14/2002,8/19/2002,#N/A
8/2/2002,8/7/2002,#N/A
7/10/2002,7/15/2002,0.517
7/2/2002,7/3/2002,0.469
6/24/2002,6/26/2002,#N/A
6/17/2002,6/19/2002,0.515
6/4/2002,6/5/2002,0.457
5/14/2002,5/16/2002,0.439
5/2/2002,5/7/2002,0.397
4/15/2002,4/17/2002,0.42
4/2/2002,4/8/2002,0.395
3/18/2002,3/20/2002,#N/A
3/12/2002,3/13/2002,0.399
3/6/2002,3/6/2002,#N/A
3/1/2002,3/5/2002,0.387
2/18/2002,2/21/2002,0.371
2/4/2002,2/6/2002,0.358
