survey start date,survey end date,CY Leung's disapproval rating
3/4/2017,6/4/2017,0.71
16/3/2017,20/3/2017,0.79
6/3/2017,10/3/2017,0.77
20/2/2017,24/2/2017,0.76
6/2/2017,9/2/2017,0.71
19/01/2017,24/01/2017,0.75
18/01/2017,18/01/2017,0.75
3/1/2017,5/1/2017,0.67
19/12/2016,22/12/2016,0.74
2/12/2016,8/12/2016,0.71
21/11/2016,24/11/2016,0.61
7/11/2016,10/11/2016,0.71
24/10/2016,27/10/2016,0.62
3/10/2016,6/10/2016,0.69
19/9/2016,22/9/2016,0.65
5/9/2016,8/9/2016,0.64
19/8/2016,25/8/2016,0.63
5/8/2016,11/8/2016,0.61
18/7/2016,21/7/2016,0.63
4/7/2016,7/7/2016,0.58
20/6/2016,23/6/2016,0.61
6/6/2016,8/6/2016,0.64
24/5/2016,26/5/2016,0.65
3/5/2016,5/5/2016,0.62
18/4/2016,21/4/2016,0.63
5/4/2016,7/4/2016,0.57
17/3/2016,22/3/2016,0.62
7/3/2016,10/3/2016,0.63
17/2/2016,19/2/2016,0.61
1/2/2016,4/2/2016,0.61
18/1/2016,21/1/2016,0.62
13/1/2016,13/1/2016,0.72
4/1/2016,6/1/2016,0.66
16/12/2015,21/12/2015,0.59
3/12/2015,7/12/2015,0.63
18/11/2015,24/11/2015,0.58
2/11/2015,5/11/2015,0.60
19/10/2015,23/10/2015,0.59
5/10/2015,8/10/2015,0.62
16/9/2015,22/9/2015,0.62
7/9/2015,10/9/2015,0.59
21/8/2015,27/8/2015,0.62
3/8/2015,6/8/2015,0.60
20/7/2015,23/7/2015,0.59
6/7/2015,10/7/2015,0.57
22/6/2015,25/6/2015,0.56
3/6/2015,9/6/2015,0.58
15/5/2015,21/5/2015,0.57
4/5/2015,7/5/2015,0.58
20/4/2015,26/4/2015,0.56
31/3/2015,9/4/2015,0.58
16/3/2015,19/3/2015,0.59
2/3/2015,5/3/2015,0.64
11/2/2015,16/2/2015,0.64
30/1/2015,4/2/2015,0.62
19/1/2015,21/1/2015,0.58
14/1/2015,14/1/2015,0.60
2/1/2015,8/1/2015,0.62
17/12/2014,22/12/2014,0.59
8/12/2014,11/12/2014,0.63
17/11/2014,19/11/2014,0.57
31/10/2014,5/11/2014,0.60
20/10/2014,23/10/2014,0.62
6/10/2014,9/10/2014,0.61
17/9/2014,22/9/2014,0.57
4/9/2014,11/9/2014,0.61
14/8/2014,20/8/2014,0.58
31/7/2014,6/8/2014,0.56
21/7/2014,24/7/2014,0.55
7/7/2014,10/7/2014,0.61
16/6/2014,19/6/2014,0.57
3/6/2014,6/6/2014,0.60
17/5/2014,22/5/2014,0.53
5/5/2014,8/5/2014,0.55
16/4/2014,23/4/2014,0.55
7/4/2014,10/4/2014,0.56
24/3/2014,27/3/2014,0.56
3/3/2014,6/3/2014,0.56
17/2/2014,20/2/2014,0.56
4/2/2014,6/2/2014,0.56
18/1/2014,22/1/2014,0.55
15/1/2014,15/1/2014,0.53
2/1/2014,6/1/2014,0.58
16/12/2013,19/12/2013,0.60
3/12/2013,5/12/2013,0.66
14/11/2013,21/11/2013,0.61
4/11/2013,7/11/2013,0.63
18/10/2013,24/10/2013,0.60
3/10/2013,8/10/2013,0.55
23/9/2013,26/9/2013,0.49
3/9/2013,5/9/2013,0.56
15/8/2013,20/8/2013,0.56
1/8/2013,8/8/2013,0.57
22/7/2013,25/7/2013,0.54
2/7/2013,5/7/2013,0.55
13/6/2013,19/6/2013,0.55
3/6/2013,5/6/2013,0.54
20/5/2013,23/5/2013,0.54
2/5/2013,7/5/2013,0.54
17/4/2013,25/4/2013,0.49
2/4/2013,10/4/2013,0.51
21/3/2013,27/3/2013,0.51
27/2/2013,6/3/2013,0.49
18/2/2013,21/2/2013,0.51
1/2/2013,6/2/2013,0.53
18/1/2013,24/1/2013,0.48
16/1/2013,16/1/2013,0.47
2/1/2013,9/1/2013,0.51
18/12/2012,28/12/2012,0.47
1/12/2012,4/12/2012,0.49
14/11/2012,22/11/2012,0.45
1/11/2012,8/11/2012,0.43
17/10/2012,23/10/2012,0.47
4/10/2012,10/10/2012,0.45
18/9/2012,27/9/2012,0.50
3/9/2012,7/9/2012,0.50
14/8/2012,18/8/2012,0.48
2/8/2012,8/8/2012,0.47
17/7/2012,20/7/2012,0.45
9/7/2012,11/7/2012,0.41
19/6/2012,25/6/2012,0.42
30/5/2012,6/6/2012,0.39
18/5/2012,24/5/2012,0.41
3/5/2012,10/5/2012,0.34
17/4/2012,23/4/2012,0.40
2/4/2012,10/4/2012,0.45
27/3/2012,30/3/2012,0.51
