Release date,Public Sentiment Index(PSI) 
May-17,63.5
Apr-17,67.4
Mar-17,69.8
Feb-17,68.4
Jan-17,67.4
Dec-16,64.1
Nov-16,62.3
Oct-16,61.5
Sep-16,62
Aug-16,66.9
Jul-16,62.3
Jun-16,61.1
May-16,57.1
Apr-16,60.5
Mar-16,59.9
Feb-16,60.8
Jan-16,58.3
Dec-15,67.8
Nov-15,71.4
Oct-15,65.2
Sep-15,66.6
Aug-15,64.2
Jul-15,75.3
Jun-15,74.3
May-15,79.7
Apr-15,75.6
Mar-15,65.3
Feb-15,65.8
Jan-15,70.4
Dec-14,73.3
Nov-14,75.6
Oct-14,68.3
Sep-14,69.5
Aug-14,72.6
Jul-14,69.7
Jun-14,73.4
May-14,76.7
Apr-14,75.5
Mar-14,76.3
Feb-14,76
Jan-14,77.9
Dec-13,68.4
Nov-13,60.8
Oct-13,68.1
Sep-13,74.6
Aug-13,69.2
Jul-13,71.3
Jun-13,72.7
May-13,72.9
Apr-13,78.1
Mar-13,82.7
Feb-13,74.5
Jan-13,80.4
Dec-12,85.3
Nov-12,92.2
Oct-12,82.7
12-Sep,76.3
Aug-12,82.9
Jul-12,88.5
Jun-12,74.7
May-12,78.4
Apr-12,80.4
Mar-12,82.3
Feb-12,83.8
Jan-12,86.2
Dec-11,86.7
Nov-11,90.4
Oct-11,85.5
Sep-11,83.6
Aug-11,76.8
Jul-11,80.8
Jun-11,80.1
May-11,87.8
Apr-11,89
Mar-11,90.7
Feb-11,90.2
Jan-11,98.3
Dec-10,99.1
Nov-10,102.8
Oct-10,103.1
Sep-10,108.3
Aug-10,90.7
Jul-10,90.2
Jun-10,91.9
May-10,91.2
Apr-10,94.2
Mar-10,97.1
Feb-10,98.9
Jan-10,99.2
Dec-09,101.2
Nov-09,93.7
Oct-09,95.5
Sep-09,102.2
Aug-09,103.1
Jul-09,105.5
Jun-09,104
May-09,103.2
Apr-09,98.6
Mar-09,97.2
Feb-09,100.2
Jan-09,98.3
Dec-08,98.7
Nov-08,100.2
Oct-08,98.1
Sep-08,99.6
Aug-08,102.6
Jul-08,108.2
Jun-08,113.6
May-08,125
Apr-08,123.8
Mar-08,126.2
Feb-08,124.9
Jan-08,117
Dec-07,123.7
Nov-07,123.1
Oct-07,124.2
Sep-07,126.9
Aug-07,127.9
Jul-07,127.1
Jun-07,131.3
May-07,128.1
Apr-07,129
Mar-07,125
Feb-07,120.4
Jan-07,113.3
Dec-06,117.9
Nov-06,118.5
Oct-06,117.6
Sep-06,121.5
Aug-06,122.8
Jul-06,124.9
Jun-06,132.8
May-06,128.4
Apr-06,130.5
Mar-06,127.2
Feb-06,125.4
Jan-06,125.5
Dec-05,118.8
Nov-05,128.3
Oct-05,130.1
Sep-05,126
Aug-05,120.6
Jul-05,125.9
Jun-05,117.2
May-05,107.2
Apr-05,105.7
Mar-05,89.6
Feb-05,84.9
Jan-05,81.5
Dec-04,83.8
Nov-04,90
Oct-04,89.9
Sep-04,86.7
Aug-04,84.1
Jul-04,80.2
Jun-04,76.7
May-04,74.4
Apr-04,77.2
Mar-04,82.9
Feb-04,79.8
Jan-04,76.7
Dec-03,78.3
Nov-03,74.9
Oct-03,78.7
Sep-03,77.7
Aug-03,75.7
Jul-03,63.8
Jun-03,74.7
May-03,72.1
Apr-03,67.8
Mar-03,74.7
Feb-03,75.8
Jan-03,80.8
Dec-02,82.7
Nov-02,82.4
Oct-02,84.4
Sep-02,83.7
Aug-02,82.1
Jul-02,92.2
Jun-02,90.5
May-02,99.1
Apr-02,99.4
Mar-02,97.2
Feb-02,101.8
Jan-02,96.3
Dec-01,89.3
Nov-01,87.3
Oct-01,86.4
Sep-01,85.5
Aug-01,90.1
Jul-01,93.3
Jun-01,93.3
May-01,98
Apr-01,97.7
Mar-01,100.5
Feb-01,96.5
Jan-01,95.2
Dec-00,92.9
Nov-00,90.7
Oct-00,88
Sep-00,93.7
Aug-00,91.5
Jul-00,85
Jun-00,86.1
May-00,95.8
Apr-00,99.6
Mar-00,104.5
Feb-00,103.2
Jan-00,98.9
Dec-99,99.4
Nov-99,94.5
Oct-99,91.2
Sep-99,96.5
Aug-99,95.2
Jul-99,95.6
Jun-99,92.9
May-99,103.9
Apr-99,101.4
Mar-99,103.5
Feb-99,92.6
Jan-99,99.9
Dec-98,97.8
Nov-98,97.3
Oct-98,99.4
Sep-98,98.8
Aug-98,90.4
Jul-98,91.4
Jun-98,94
May-98,106.4
Apr-98,104
Mar-98,109.5
Feb-98,105
Jan-98,110.4
Dec-97,111.4
Nov-97,122.9
Oct-97,122.2
Sep-97,128.1
Aug-97,125.3
Jul-97,120.3
